n_contacts,hbond_contacts,vdw_contacts,min_dist_A,passes,model,model_file,pdb_path,rank
245,62,183,1.671,False,7,n-meme30007,./results_docking/n-meme3/n-meme30007.pdb,1
223,54,169,1.669,False,34,n-meme30034,./results_docking/n-meme3/n-meme30034.pdb,2
207,54,153,1.983,False,66,n-meme30066,./results_docking/n-meme3/n-meme30066.pdb,3
257,53,204,2.111,False,5,n-meme30005,./results_docking/n-meme3/n-meme30005.pdb,4
228,53,175,1.849,False,47,n-meme30047,./results_docking/n-meme3/n-meme30047.pdb,5
256,52,204,1.95,False,56,n-meme30056,./results_docking/n-meme3/n-meme30056.pdb,6
246,51,195,1.444,False,12,n-meme30012,./results_docking/n-meme3/n-meme30012.pdb,7
232,49,183,1.692,False,80,n-meme30080,./results_docking/n-meme3/n-meme30080.pdb,8
238,47,191,1.938,False,38,n-meme30038,./results_docking/n-meme3/n-meme30038.pdb,9
227,47,180,1.776,False,6,n-meme30006,./results_docking/n-meme3/n-meme30006.pdb,10
235,46,189,2.264,False,13,n-meme30013,./results_docking/n-meme3/n-meme30013.pdb,11
202,46,156,0.731,False,25,n-meme30025,./results_docking/n-meme3/n-meme30025.pdb,12
237,45,192,1.779,False,42,n-meme30042,./results_docking/n-meme3/n-meme30042.pdb,13
229,45,184,1.829,False,33,n-meme30033,./results_docking/n-meme3/n-meme30033.pdb,14
181,45,136,1.337,False,28,n-meme30028,./results_docking/n-meme3/n-meme30028.pdb,15
221,44,177,1.908,False,8,n-meme30008,./results_docking/n-meme3/n-meme30008.pdb,16
200,44,156,0.854,False,2,n-meme30002,./results_docking/n-meme3/n-meme30002.pdb,17
215,43,172,1.987,False,17,n-meme30017,./results_docking/n-meme3/n-meme30017.pdb,18
156,43,113,1.679,False,44,n-meme30044,./results_docking/n-meme3/n-meme30044.pdb,19
228,42,186,1.896,False,21,n-meme30021,./results_docking/n-meme3/n-meme30021.pdb,20
227,42,185,2.032,False,81,n-meme30081,./results_docking/n-meme3/n-meme30081.pdb,21
217,42,175,2.082,False,97,n-meme30097,./results_docking/n-meme3/n-meme30097.pdb,22
210,42,168,2.236,False,57,n-meme30057,./results_docking/n-meme3/n-meme30057.pdb,23
218,41,177,2.242,False,48,n-meme30048,./results_docking/n-meme3/n-meme30048.pdb,24
220,40,180,1.919,False,62,n-meme30062,./results_docking/n-meme3/n-meme30062.pdb,25
204,40,164,1.884,False,61,n-meme30061,./results_docking/n-meme3/n-meme30061.pdb,26
183,40,143,2.083,False,93,n-meme30093,./results_docking/n-meme3/n-meme30093.pdb,27
181,40,141,2.293,False,4,n-meme30004,./results_docking/n-meme3/n-meme30004.pdb,28
176,40,136,1.968,False,95,n-meme30095,./results_docking/n-meme3/n-meme30095.pdb,29
215,39,176,2.03,False,37,n-meme30037,./results_docking/n-meme3/n-meme30037.pdb,30
197,39,158,2.015,False,78,n-meme30078,./results_docking/n-meme3/n-meme30078.pdb,31
190,39,151,2.135,False,79,n-meme30079,./results_docking/n-meme3/n-meme30079.pdb,32
186,39,147,1.858,False,88,n-meme30088,./results_docking/n-meme3/n-meme30088.pdb,33
179,39,140,2.424,True,72,n-meme30072,./results_docking/n-meme3/n-meme30072.pdb,34
208,38,170,1.311,False,35,n-meme30035,./results_docking/n-meme3/n-meme30035.pdb,35
195,38,157,1.987,False,91,n-meme30091,./results_docking/n-meme3/n-meme30091.pdb,36
179,38,141,1.952,False,63,n-meme30063,./results_docking/n-meme3/n-meme30063.pdb,37
162,38,124,2.432,True,32,n-meme30032,./results_docking/n-meme3/n-meme30032.pdb,38
246,37,209,1.945,False,3,n-meme30003,./results_docking/n-meme3/n-meme30003.pdb,39
210,37,173,2.311,False,45,n-meme30045,./results_docking/n-meme3/n-meme30045.pdb,40
209,37,172,2.213,False,15,n-meme30015,./results_docking/n-meme3/n-meme30015.pdb,41
197,37,160,1.869,False,1,n-meme30001,./results_docking/n-meme3/n-meme30001.pdb,42
182,37,145,2.324,False,49,n-meme30049,./results_docking/n-meme3/n-meme30049.pdb,43
189,36,153,2.233,False,23,n-meme30023,./results_docking/n-meme3/n-meme30023.pdb,44
176,36,140,2.295,False,11,n-meme30011,./results_docking/n-meme3/n-meme30011.pdb,45
205,35,170,1.952,False,22,n-meme30022,./results_docking/n-meme3/n-meme30022.pdb,46
202,35,167,2.033,False,70,n-meme30070,./results_docking/n-meme3/n-meme30070.pdb,47
191,35,156,1.994,False,75,n-meme30075,./results_docking/n-meme3/n-meme30075.pdb,48
186,35,151,2.229,False,87,n-meme30087,./results_docking/n-meme3/n-meme30087.pdb,49
219,34,185,1.904,False,71,n-meme30071,./results_docking/n-meme3/n-meme30071.pdb,50
201,34,167,1.845,False,54,n-meme30054,./results_docking/n-meme3/n-meme30054.pdb,51
200,34,166,2.279,False,19,n-meme30019,./results_docking/n-meme3/n-meme30019.pdb,52
185,34,151,2.011,False,26,n-meme30026,./results_docking/n-meme3/n-meme30026.pdb,53
202,33,169,2.136,False,18,n-meme30018,./results_docking/n-meme3/n-meme30018.pdb,54
199,33,166,2.089,False,100,n-meme30100,./results_docking/n-meme3/n-meme30100.pdb,55
196,33,163,2.137,False,85,n-meme30085,./results_docking/n-meme3/n-meme30085.pdb,56
206,32,174,2.199,False,14,n-meme30014,./results_docking/n-meme3/n-meme30014.pdb,57
186,32,154,2.235,False,41,n-meme30041,./results_docking/n-meme3/n-meme30041.pdb,58
178,32,146,2.038,False,9,n-meme30009,./results_docking/n-meme3/n-meme30009.pdb,59
166,32,134,2.066,False,20,n-meme30020,./results_docking/n-meme3/n-meme30020.pdb,60
205,31,174,1.987,False,98,n-meme30098,./results_docking/n-meme3/n-meme30098.pdb,61
204,31,173,1.737,False,46,n-meme30046,./results_docking/n-meme3/n-meme30046.pdb,62
190,31,159,2.148,False,50,n-meme30050,./results_docking/n-meme3/n-meme30050.pdb,63
189,31,158,1.959,False,65,n-meme30065,./results_docking/n-meme3/n-meme30065.pdb,64
183,31,152,2.277,False,40,n-meme30040,./results_docking/n-meme3/n-meme30040.pdb,65
177,31,146,1.361,False,10,n-meme30010,./results_docking/n-meme3/n-meme30010.pdb,66
173,31,142,1.914,False,77,n-meme30077,./results_docking/n-meme3/n-meme30077.pdb,67
186,30,156,1.753,False,51,n-meme30051,./results_docking/n-meme3/n-meme30051.pdb,68
189,29,160,2.255,False,90,n-meme30090,./results_docking/n-meme3/n-meme30090.pdb,69
178,29,149,2.289,False,73,n-meme30073,./results_docking/n-meme3/n-meme30073.pdb,70
160,29,131,2.306,False,43,n-meme30043,./results_docking/n-meme3/n-meme30043.pdb,71
201,28,173,1.972,False,24,n-meme30024,./results_docking/n-meme3/n-meme30024.pdb,72
173,28,145,2.29,False,55,n-meme30055,./results_docking/n-meme3/n-meme30055.pdb,73
156,28,128,2.323,False,84,n-meme30084,./results_docking/n-meme3/n-meme30084.pdb,74
151,28,123,2.455,True,39,n-meme30039,./results_docking/n-meme3/n-meme30039.pdb,75
188,27,161,2.02,False,31,n-meme30031,./results_docking/n-meme3/n-meme30031.pdb,76
183,27,156,2.16,False,86,n-meme30086,./results_docking/n-meme3/n-meme30086.pdb,77
179,27,152,2.028,False,92,n-meme30092,./results_docking/n-meme3/n-meme30092.pdb,78
162,27,135,1.863,False,76,n-meme30076,./results_docking/n-meme3/n-meme30076.pdb,79
160,27,133,2.404,True,94,n-meme30094,./results_docking/n-meme3/n-meme30094.pdb,80
160,27,133,2.567,True,59,n-meme30059,./results_docking/n-meme3/n-meme30059.pdb,81
197,26,171,2.26,False,52,n-meme30052,./results_docking/n-meme3/n-meme30052.pdb,82
196,26,170,1.908,False,89,n-meme30089,./results_docking/n-meme3/n-meme30089.pdb,83
177,26,151,2.407,True,16,n-meme30016,./results_docking/n-meme3/n-meme30016.pdb,84
172,26,146,1.682,False,30,n-meme30030,./results_docking/n-meme3/n-meme30030.pdb,85
158,26,132,2.164,False,27,n-meme30027,./results_docking/n-meme3/n-meme30027.pdb,86
188,25,163,2.01,False,74,n-meme30074,./results_docking/n-meme3/n-meme30074.pdb,87
182,25,157,2.186,False,69,n-meme30069,./results_docking/n-meme3/n-meme30069.pdb,88
178,25,153,2.216,False,53,n-meme30053,./results_docking/n-meme3/n-meme30053.pdb,89
172,25,147,2.214,False,58,n-meme30058,./results_docking/n-meme3/n-meme30058.pdb,90
146,25,121,1.916,False,60,n-meme30060,./results_docking/n-meme3/n-meme30060.pdb,91
176,24,152,2.237,False,99,n-meme30099,./results_docking/n-meme3/n-meme30099.pdb,92
174,24,150,1.852,False,96,n-meme30096,./results_docking/n-meme3/n-meme30096.pdb,93
145,24,121,2.321,False,68,n-meme30068,./results_docking/n-meme3/n-meme30068.pdb,94
176,23,153,2.237,False,29,n-meme30029,./results_docking/n-meme3/n-meme30029.pdb,95
173,23,150,2.349,False,64,n-meme30064,./results_docking/n-meme3/n-meme30064.pdb,96
151,22,129,2.671,True,82,n-meme30082,./results_docking/n-meme3/n-meme30082.pdb,97
154,21,133,2.816,True,36,n-meme30036,./results_docking/n-meme3/n-meme30036.pdb,98
164,20,144,2.534,True,67,n-meme30067,./results_docking/n-meme3/n-meme30067.pdb,99
136,19,117,2.46,True,83,n-meme30083,./results_docking/n-meme3/n-meme30083.pdb,100
