n_contacts,hbond_contacts,vdw_contacts,min_dist_A,passes,model,model_file,pdb_path,rank
220,58,162,1.948,False,63,n-meme4-20063,./results_docking/n-meme4-2/n-meme4-20063.pdb,1
302,56,246,1.889,False,16,n-meme4-20016,./results_docking/n-meme4-2/n-meme4-20016.pdb,2
248,54,194,1.975,False,53,n-meme4-20053,./results_docking/n-meme4-2/n-meme4-20053.pdb,3
222,54,168,1.933,False,57,n-meme4-20057,./results_docking/n-meme4-2/n-meme4-20057.pdb,4
276,52,224,1.74,False,28,n-meme4-20028,./results_docking/n-meme4-2/n-meme4-20028.pdb,5
285,50,235,1.771,False,2,n-meme4-20002,./results_docking/n-meme4-2/n-meme4-20002.pdb,6
260,49,211,1.761,False,64,n-meme4-20064,./results_docking/n-meme4-2/n-meme4-20064.pdb,7
227,49,178,1.7,False,83,n-meme4-20083,./results_docking/n-meme4-2/n-meme4-20083.pdb,8
245,48,197,1.831,False,95,n-meme4-20095,./results_docking/n-meme4-2/n-meme4-20095.pdb,9
242,48,194,1.988,False,73,n-meme4-20073,./results_docking/n-meme4-2/n-meme4-20073.pdb,10
250,46,204,2.337,False,8,n-meme4-20008,./results_docking/n-meme4-2/n-meme4-20008.pdb,11
282,45,237,1.563,False,18,n-meme4-20018,./results_docking/n-meme4-2/n-meme4-20018.pdb,12
262,45,217,1.93,False,36,n-meme4-20036,./results_docking/n-meme4-2/n-meme4-20036.pdb,13
247,45,202,2.147,False,5,n-meme4-20005,./results_docking/n-meme4-2/n-meme4-20005.pdb,14
255,44,211,2.191,False,19,n-meme4-20019,./results_docking/n-meme4-2/n-meme4-20019.pdb,15
215,42,173,1.78,False,90,n-meme4-20090,./results_docking/n-meme4-2/n-meme4-20090.pdb,16
247,41,206,1.694,False,25,n-meme4-20025,./results_docking/n-meme4-2/n-meme4-20025.pdb,17
248,40,208,1.919,False,12,n-meme4-20012,./results_docking/n-meme4-2/n-meme4-20012.pdb,18
231,40,191,1.714,False,48,n-meme4-20048,./results_docking/n-meme4-2/n-meme4-20048.pdb,19
230,40,190,1.956,False,35,n-meme4-20035,./results_docking/n-meme4-2/n-meme4-20035.pdb,20
