n_contacts,hbond_contacts,vdw_contacts,min_dist_A,passes,model,model_file,pdb_path,rank
221,53,168,1.668,False,25,n-meme20025,./results_docking/n-meme2/n-meme20025.pdb,1
197,51,146,2.119,False,1,n-meme20001,./results_docking/n-meme2/n-meme20001.pdb,2
212,49,163,1.745,False,23,n-meme20023,./results_docking/n-meme2/n-meme20023.pdb,3
230,48,182,2.274,False,42,n-meme20042,./results_docking/n-meme2/n-meme20042.pdb,4
208,48,160,1.869,False,94,n-meme20094,./results_docking/n-meme2/n-meme20094.pdb,5
227,45,182,2.379,False,13,n-meme20013,./results_docking/n-meme2/n-meme20013.pdb,6
211,45,166,1.735,False,68,n-meme20068,./results_docking/n-meme2/n-meme20068.pdb,7
221,44,177,2.21,False,3,n-meme20003,./results_docking/n-meme2/n-meme20003.pdb,8
215,44,171,1.915,False,93,n-meme20093,./results_docking/n-meme2/n-meme20093.pdb,9
187,41,146,1.584,False,27,n-meme20027,./results_docking/n-meme2/n-meme20027.pdb,10
211,40,171,1.78,False,33,n-meme20033,./results_docking/n-meme2/n-meme20033.pdb,11
194,39,155,1.543,False,65,n-meme20065,./results_docking/n-meme2/n-meme20065.pdb,12
182,39,143,1.659,False,91,n-meme20091,./results_docking/n-meme2/n-meme20091.pdb,13
218,38,180,2.023,False,18,n-meme20018,./results_docking/n-meme2/n-meme20018.pdb,14
189,38,151,2.532,True,7,n-meme20007,./results_docking/n-meme2/n-meme20007.pdb,15
184,38,146,1.383,False,56,n-meme20056,./results_docking/n-meme2/n-meme20056.pdb,16
206,37,169,1.426,False,55,n-meme20055,./results_docking/n-meme2/n-meme20055.pdb,17
189,37,152,1.964,False,40,n-meme20040,./results_docking/n-meme2/n-meme20040.pdb,18
186,37,149,1.454,False,88,n-meme20088,./results_docking/n-meme2/n-meme20088.pdb,19
180,37,143,2.62,True,11,n-meme20011,./results_docking/n-meme2/n-meme20011.pdb,20
205,36,169,1.84,False,54,n-meme20054,./results_docking/n-meme2/n-meme20054.pdb,21
197,36,161,2.084,False,30,n-meme20030,./results_docking/n-meme2/n-meme20030.pdb,22
189,36,153,1.09,False,38,n-meme20038,./results_docking/n-meme2/n-meme20038.pdb,23
197,35,162,1.538,False,81,n-meme20081,./results_docking/n-meme2/n-meme20081.pdb,24
192,35,157,1.073,False,22,n-meme20022,./results_docking/n-meme2/n-meme20022.pdb,25
192,35,157,1.84,False,82,n-meme20082,./results_docking/n-meme2/n-meme20082.pdb,26
191,35,156,1.345,False,43,n-meme20043,./results_docking/n-meme2/n-meme20043.pdb,27
176,35,141,2.207,False,31,n-meme20031,./results_docking/n-meme2/n-meme20031.pdb,28
174,35,139,1.533,False,10,n-meme20010,./results_docking/n-meme2/n-meme20010.pdb,29
160,35,125,1.015,False,73,n-meme20073,./results_docking/n-meme2/n-meme20073.pdb,30
177,34,143,1.729,False,36,n-meme20036,./results_docking/n-meme2/n-meme20036.pdb,31
176,34,142,1.771,False,45,n-meme20045,./results_docking/n-meme2/n-meme20045.pdb,32
158,34,124,1.851,False,46,n-meme20046,./results_docking/n-meme2/n-meme20046.pdb,33
184,33,151,1.916,False,87,n-meme20087,./results_docking/n-meme2/n-meme20087.pdb,34
183,33,150,1.591,False,37,n-meme20037,./results_docking/n-meme2/n-meme20037.pdb,35
174,33,141,2.009,False,48,n-meme20048,./results_docking/n-meme2/n-meme20048.pdb,36
150,33,117,2.348,False,53,n-meme20053,./results_docking/n-meme2/n-meme20053.pdb,37
189,32,157,1.401,False,57,n-meme20057,./results_docking/n-meme2/n-meme20057.pdb,38
181,32,149,2.249,False,96,n-meme20096,./results_docking/n-meme2/n-meme20096.pdb,39
180,32,148,1.532,False,63,n-meme20063,./results_docking/n-meme2/n-meme20063.pdb,40
180,32,148,2.484,True,35,n-meme20035,./results_docking/n-meme2/n-meme20035.pdb,41
175,32,143,2.13,False,83,n-meme20083,./results_docking/n-meme2/n-meme20083.pdb,42
198,31,167,2.189,False,9,n-meme20009,./results_docking/n-meme2/n-meme20009.pdb,43
191,31,160,2.016,False,62,n-meme20062,./results_docking/n-meme2/n-meme20062.pdb,44
165,31,134,1.221,False,60,n-meme20060,./results_docking/n-meme2/n-meme20060.pdb,45
172,30,142,1.927,False,19,n-meme20019,./results_docking/n-meme2/n-meme20019.pdb,46
166,30,136,2.255,False,29,n-meme20029,./results_docking/n-meme2/n-meme20029.pdb,47
164,30,134,1.109,False,64,n-meme20064,./results_docking/n-meme2/n-meme20064.pdb,48
160,30,130,2.238,False,85,n-meme20085,./results_docking/n-meme2/n-meme20085.pdb,49
192,29,163,1.262,False,100,n-meme20100,./results_docking/n-meme2/n-meme20100.pdb,50
172,29,143,1.951,False,17,n-meme20017,./results_docking/n-meme2/n-meme20017.pdb,51
170,29,141,1.185,False,39,n-meme20039,./results_docking/n-meme2/n-meme20039.pdb,52
165,29,136,2.125,False,24,n-meme20024,./results_docking/n-meme2/n-meme20024.pdb,53
164,29,135,1.806,False,77,n-meme20077,./results_docking/n-meme2/n-meme20077.pdb,54
164,29,135,2.155,False,20,n-meme20020,./results_docking/n-meme2/n-meme20020.pdb,55
158,29,129,1.776,False,61,n-meme20061,./results_docking/n-meme2/n-meme20061.pdb,56
144,29,115,1.456,False,26,n-meme20026,./results_docking/n-meme2/n-meme20026.pdb,57
189,28,161,1.927,False,98,n-meme20098,./results_docking/n-meme2/n-meme20098.pdb,58
170,28,142,2.624,True,4,n-meme20004,./results_docking/n-meme2/n-meme20004.pdb,59
165,28,137,2.054,False,80,n-meme20080,./results_docking/n-meme2/n-meme20080.pdb,60
153,28,125,1.94,False,21,n-meme20021,./results_docking/n-meme2/n-meme20021.pdb,61
143,28,115,2.0,False,50,n-meme20050,./results_docking/n-meme2/n-meme20050.pdb,62
166,27,139,0.924,False,72,n-meme20072,./results_docking/n-meme2/n-meme20072.pdb,63
160,27,133,2.011,False,99,n-meme20099,./results_docking/n-meme2/n-meme20099.pdb,64
154,27,127,2.483,True,6,n-meme20006,./results_docking/n-meme2/n-meme20006.pdb,65
177,26,151,2.313,False,47,n-meme20047,./results_docking/n-meme2/n-meme20047.pdb,66
163,26,137,1.846,False,16,n-meme20016,./results_docking/n-meme2/n-meme20016.pdb,67
159,26,133,2.149,False,92,n-meme20092,./results_docking/n-meme2/n-meme20092.pdb,68
157,26,131,2.42,True,5,n-meme20005,./results_docking/n-meme2/n-meme20005.pdb,69
146,26,120,2.093,False,12,n-meme20012,./results_docking/n-meme2/n-meme20012.pdb,70
142,26,116,2.284,False,14,n-meme20014,./results_docking/n-meme2/n-meme20014.pdb,71
132,26,106,2.05,False,52,n-meme20052,./results_docking/n-meme2/n-meme20052.pdb,72
179,25,154,1.768,False,67,n-meme20067,./results_docking/n-meme2/n-meme20067.pdb,73
175,25,150,2.064,False,59,n-meme20059,./results_docking/n-meme2/n-meme20059.pdb,74
154,25,129,2.168,False,44,n-meme20044,./results_docking/n-meme2/n-meme20044.pdb,75
132,25,107,2.065,False,71,n-meme20071,./results_docking/n-meme2/n-meme20071.pdb,76
156,24,132,1.536,False,76,n-meme20076,./results_docking/n-meme2/n-meme20076.pdb,77
144,24,120,2.564,True,28,n-meme20028,./results_docking/n-meme2/n-meme20028.pdb,78
194,23,171,2.138,False,15,n-meme20015,./results_docking/n-meme2/n-meme20015.pdb,79
121,23,98,2.035,False,84,n-meme20084,./results_docking/n-meme2/n-meme20084.pdb,80
155,22,133,2.615,True,79,n-meme20079,./results_docking/n-meme2/n-meme20079.pdb,81
139,22,117,2.035,False,78,n-meme20078,./results_docking/n-meme2/n-meme20078.pdb,82
112,22,90,2.42,True,49,n-meme20049,./results_docking/n-meme2/n-meme20049.pdb,83
105,22,83,2.167,False,75,n-meme20075,./results_docking/n-meme2/n-meme20075.pdb,84
149,21,128,2.331,False,41,n-meme20041,./results_docking/n-meme2/n-meme20041.pdb,85
145,21,124,1.781,False,32,n-meme20032,./results_docking/n-meme2/n-meme20032.pdb,86
137,21,116,1.873,False,70,n-meme20070,./results_docking/n-meme2/n-meme20070.pdb,87
133,21,112,1.686,False,90,n-meme20090,./results_docking/n-meme2/n-meme20090.pdb,88
124,21,103,1.929,False,89,n-meme20089,./results_docking/n-meme2/n-meme20089.pdb,89
150,20,130,2.487,True,58,n-meme20058,./results_docking/n-meme2/n-meme20058.pdb,90
128,20,108,2.544,True,69,n-meme20069,./results_docking/n-meme2/n-meme20069.pdb,91
155,19,136,1.369,False,2,n-meme20002,./results_docking/n-meme2/n-meme20002.pdb,92
129,19,110,1.841,False,95,n-meme20095,./results_docking/n-meme2/n-meme20095.pdb,93
130,17,113,2.536,True,51,n-meme20051,./results_docking/n-meme2/n-meme20051.pdb,94
145,16,129,2.545,True,97,n-meme20097,./results_docking/n-meme2/n-meme20097.pdb,95
122,16,106,2.639,True,74,n-meme20074,./results_docking/n-meme2/n-meme20074.pdb,96
125,15,110,2.354,False,8,n-meme20008,./results_docking/n-meme2/n-meme20008.pdb,97
126,14,112,2.468,True,34,n-meme20034,./results_docking/n-meme2/n-meme20034.pdb,98
106,13,93,2.31,False,86,n-meme20086,./results_docking/n-meme2/n-meme20086.pdb,99
114,9,105,1.997,False,66,n-meme20066,./results_docking/n-meme2/n-meme20066.pdb,100
